Review,Cleaned_Review,Sentiment,Word_Count
I thought it would be as big as small paper but turn out to be just like my palm. I think it is too small to read on it... not very comfortable as regular Kindle. Would definitely recommend a paperwhite instead.,thought would big small paper turn like palm think small read comfortable regular kindle would definitely recommend paperwhite instead,Negative,19
This kindle is light and easy to use especially at the beach!!!,kindle light easy use especially beach,Positive,6
"Didnt know how much i'd use a kindle so went for the lower end. im happy with it, even if its a little dark",didnt know much use kindle went lower end im happy even little dark,Positive,13
"I am 100 happy with my purchase. I caught it on sale at a really good price. I am normally a real book person, but I have a 1 year old who loves ripping up pages. The Kindle prevents that, it's extremely portable (it fits better in my purse than a giant book), and I have it loaded with lots of books. I finish one and start another, without having to go store. It serves all my needs. I picked this one over the Paperwhite because the price was unbeatable and the only difference that I could see was this one wasn't backlit. A simple book light from the Dollar tree solves that issue. This is my second Kindle (the first being the old Keyboard model, which I put down because I fell out of love with the keyboard. Lol) and it most likely won't be my last.",happy purchase caught sale really good price normally real book person year old loves ripping pages kindle prevents extremely portable fits better purse giant book loaded lots books finish one start another without go store serves needs picked one paperwhite price unbeatable difference could see one backlit simple book light dollar tree solves issue second kindle first old keyboard model put fell love keyboard lol likely wo last,Positive,68
Solid entry level Kindle. Great for kids. Gifted for a kid of my friend and they love to use it to read more than their iPads. battery is good but higher model is a bit better.,solid entry level kindle great kids gifted kid friend love use read ipads battery good higher model bit better,Positive,19
This make an excellent ebook reader. Don't expect much from this device except to read basic ebooks. The good thing is it's cheap and good to read in the sun.,make excellent ebook reader expect much device except read basic ebooks good thing cheap good read sun,Positive,17
"I ordered this for my daughter, as I have the black paperwhite, and I love it. I read quite a bit and the larger books were driving me crazy having to hold them up while laying down, or wanting to take a book on vacation and lugging around a thick paperback, with this I can throw it in my bag and read anywhere. Its light weight, easy to use, the battery life lasts for weeks, which makes it an all around awesome device. My daughter is in public school and they offer an online library for E-Readers, so she can now download books for free from school! You can also download your own public library app (if your county offers that) and read free from there as well. You can shop for e-books straight from the device through Amazon.com.",ordered daughter black paperwhite love read quite bit larger books driving crazy hold laying wanting take book vacation lugging around thick paperback throw bag read anywhere light weight easy use battery life lasts weeks makes around awesome device daughter public school offer online library download books free school also download public library app county offers read free well shop straight device,Positive,61
I bought my Kindle about 2 months ago and the battery is already dead and will not charge,bought kindle months ago battery already dead charge,Negative,8
"amazon kindle is always the best ebook, upgrade every new model",amazon kindle always best ebook upgrade every new model,Positive,9
"It's beyond my expectation, and it can even show music score. Not fast turning though.",beyond expectation even show music score fast turning though,Positive,9
